leaid,leaname,fips,stateabb,gapblk,gapseblk,gaphsp,gapsehsp,racepercent
1705580,BELLE VALLEY SD 119,IL,IL,.592,.0349,,,1
1705610,BELLEVILLE SD 118,IL,IL,.6422,.0164,,,.99987102
1705790,BELVIDERE CUSD 100,IL,IL,.5532,.0656,.5745,.0132,.99963015
1705910,BENSENVILLE SD 2,IL,IL,,,.5560000000000001,.0242,1
1706000,BERKELEY SD 87,IL,IL,.4304,.3177,.5314,.3134,1
1706060,BERWYN NORTH SD 98,IL,IL,.5281,.0462,.3091,.032,1
1706090,BERWYN SOUTH SD 100,IL,IL,.3507,.2807,.3368,.0218,.99991637
1706270,BIG HOLLOW SD 38,IL,IL,,,.3975,.0313,1
1706480,BLOOMINGTON SD 87,IL,IL,.911,.0228,.7636,.0271,.99974734
1706510,COOK COUNTY SD 130,IL,IL,.6562,.0259,.4232,.027,1
1706750,BOURBONNAIS SD 53,IL,IL,.7435000000000001,.0308,.3932,.0498,.99982369
1706930,BRADLEY SD 61,IL,IL,.0649,.127,.3166,.0643,1
1707170,INDIAN SPRINGS SD 109,IL,IL,.5863,.0215,.1538,.0232,1
1707290,LEMONT-BROMBEREK CSD 113A,IL,IL,,,.367,.0577,1
1707320,BROOKFIELD LAGRANGE PARK SD 95,IL,IL,,,.2582,.0943,1
1707830,CENTRAL CUSD 301,IL,IL,,,.6041,.0329,.99987376
1708040,CAHOKIA CUSD 187,IL,IL,.3669,.0307,,,1
1708340,CARBONDALE ESD 95,IL,IL,.8929,.0367,,,1
1708550,CUSD 300,IL,IL,.9777,.0235,.7273,.0108,.9998467
1708730,CARY CCSD 26,IL,IL,,,.9575,.0308,.99973392
1709170,CENTRAL SD 104,IL,IL,.3782,.1582,,,.99962962
1709270,CENTRALIA SD 135,IL,IL,.3311,.0407,,,.99975127
1709420,CHAMPAIGN CUSD 4,IL,IL,1.0351,.0156,.6671,.0223,.99992061
1709510,CHANEY-MONGE SD 88,IL,IL,,,.4142,.1672,1
1709930,CITY OF CHICAGO SD 299,IL,IL,.912,.0059,.7332,.0051,.99991518
1709960,CHICAGO HEIGHTS SD 170,IL,IL,.6194,.1305,.4063,.1329,1
1709990,CHICAGO RIDGE SD 127-5,IL,IL,,,.0242,.06,1
1710200,CICERO SD 99,IL,IL,.285,.0443,-.0561,.033,1
1710380,SKOKIE SD 73-5,IL,IL,1.095,.2952,,,.9997375
1710470,CCSD 93,IL,IL,.8618,.0303,.6324,.0205,.99991679
1710570,COBDEN SUD 17,IL,IL,,,.6897,.2225,1
1710650,COLLINSVILLE CUSD 10,IL,IL,.5598,.0233,.4802,.0188,.99992681
1711250,CRETE MONEE CUSD 201U,IL,IL,.5256,.0186,.2438,.0342,1
1711350,CRYSTAL LAKE CCSD 47,IL,IL,,,.7424,.0159,.99989873
1711790,DANVILLE CCSD 118,IL,IL,.5907,.0152,.234,.0273,.99996078
1711850,DECATUR SD 61,IL,IL,.5382,.0128,.0809,.0963,1
1712000,DEKALB CUSD 428,IL,IL,.9623,.0217,.7234,.0192,.9999187
1712120,CCSD 62,IL,IL,.6802,.0373,.6592,.0216,1
1712210,DIAMOND LAKE SD 76,IL,IL,,,.9792,.0402,1
1712540,DOWNERS GROVE GSD 58,IL,IL,1.0178,.0417,.7443,.0247,.99963033
1712700,DUNLAP CUSD 323,IL,IL,.5073,.1014,,,1
1713140,EAST MAINE SD 63,IL,IL,.5145,.122,.7073,.0212,.99991363
1713170,EAST MOLINE SD 37,IL,IL,.7107,.0317,.328,.0216,.999879
1713530,EDWARDSVILLE CUSD 7,IL,IL,.7907,.0278,,,.99874002
1713710,SD U-46,IL,IL,1.014,.0116,.7528,.0089,.99985492
1713770,COMM CONS SD 59,IL,IL,.7242,.0414,.8158,.0191,.99990427
1713970,ELMHURST SD 205,IL,IL,1.1158,.3055,.7573,.022,.99972951
1714100,ELMWOOD PARK CUSD 401,IL,IL,,,.3229,.0227,1
1714220,HARMONY EMGE SD 175,IL,IL,.6514,.0421,,,1
1714460,EVANSTON CCSD 65,IL,IL,1.491,.0204,1.2691,.0233,.99990433
1714550,EVERGREEN PARK ESD 124,IL,IL,.7134,.0257,.5351,.0295,1
1715420,FLOSSMOOR SD 161,IL,IL,.7333,.0257,.6696,.0577,1
1715450,FOREST PARK SD 91,IL,IL,.66,.0832,-.2526,.2039,.99966329
1715480,FOREST RIDGE SD 142,IL,IL,,,.4073,.0368,.99953675
1715630,FOX LAKE GSD 114,IL,IL,,,.83,.3193,1
1715700,FRANKFORT CCSD 157C,IL,IL,-.0477,.1995,.1821,.1467,.99988282
1715780,FRANKLIN PARK SD 84,IL,IL,,,.3933,.0271,1
1715900,FREEPORT SD 145,IL,IL,.8229,.021,.5826,.0866,.99972695
1715930,FREMONT SD 79,IL,IL,,,.6826,.0535,1
1716080,GALESBURG CUSD 205,IL,IL,.6207,.0255,.2216,.0395,1
1716290,GAVIN SD 37,IL,IL,,,.2971,.0499,.99907416
1716380,GENEVA CUSD 304,IL,IL,,,.6544,.0361,.99996358
1716410,GENOA KINGSTON CUSD 424,IL,IL,,,.6415,.0523,.99977171
1716800,GLEN ELLYN SD 41,IL,IL,1.4322,.0891,.9657,.0274,.99974108
1716920,GLENVIEW CCSD 34,IL,IL,,,1.0351,.0243,.9994359
1717040,WOODRIDGE SD 68,IL,IL,.892,.0264,.6599,.0218,.99978578
1717280,GRANITE CITY CUSD 9,IL,IL,.5706,.0279,.2915,.0268,.99993455
1717310,GRANT CCSD 110,IL,IL,.4651,.039,,,1
1717520,GRAYSLAKE CCSD 46,IL,IL,.7314000000000001,.118,.7126,.0177,.99978161
1717800,GURNEE SD 56,IL,IL,.8556,.0304,.6627999999999999,.0246,.99945199
1718240,HARLEM UD 122,IL,IL,.4627,.0358,.2848,.0219,.99987692
1718420,HARVARD CUSD 50,IL,IL,,,.6695,.0246,1
1718570,HAWTHORN CCSD 73,IL,IL,,,1.049,.0223,.9995138
1718960,HIGH MOUNT SD 116,IL,IL,.1452,.2566,,,1
